Algoritmo;Paralelo;TamanhoArray;Distribuicao;Threads;Amostra;TempoNanos;TempoMillis
Merge Sort Serial;false;100;RANDOM;1;1;84600;0.0846
Merge Sort Serial;false;100;RANDOM;1;2;53500;0.0535
Merge Sort Serial;false;100;RANDOM;1;3;88300;0.0883
Merge Sort Serial;false;100;RANDOM;1;4;53400;0.0534
Merge Sort Serial;false;100;RANDOM;1;5;40700;0.0407
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;2;1;1168800;1.1688
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;2;2;1552200;1.5522
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;2;3;954600;0.9546
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;2;4;1023000;1.0230
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;2;5;1130900;1.1309
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;4;1;955000;0.9550
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;4;2;925200;0.9252
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;4;3;954800;0.9548
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;4;4;1922000;1.9220
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;4;5;1475800;1.4758
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;8;1;897200;0.8972
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;8;2;838800;0.8388
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;8;3;1056800;1.0568
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;8;4;873200;0.8732
Merge Sort Paralelo (ForkJoin);true;100;RANDOM;8;5;3487300;3.4873
Merge Sort Serial;false;500;RANDOM;1;1;327300;0.3273
Merge Sort Serial;false;500;RANDOM;1;2;129600;0.1296
Merge Sort Serial;false;500;RANDOM;1;3;103100;0.1031
Merge Sort Serial;false;500;RANDOM;1;4;129300;0.1293
Merge Sort Serial;false;500;RANDOM;1;5;142200;0.1422
Merge Sort Paralelo (ForkJoin);true;500;RANDOM;2;1;1049600;1.0496
Merge Sort Paralelo (ForkJoin);true;500;RANDOM;2;2;1748600;1.7486
Merge Sort Paralelo (ForkJoin);true;500;RANDOM;2;3;978700;0.9787
Merge Sort Paralelo (ForkJoin);true;500;RANDOM;2;4;886500;0.8865
